geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US17031030101,"Census Tract 301.01, Cook, IL",3699,507,3098,475,1330,300,866,381,0,12,745,226,0,12,0,12,157,128,0,12,157,128,601,276,317,247,0,12,11,18,0,12,0,12,169,181,104,70,82,63,22,38
14000US17031030102,"Census Tract 301.02, Cook, IL",3147,666,2682,634,1205,196,428,186,0,12,931,607,0,12,68,70,50,56,0,12,50,56,465,170,209,100,9,15,0,12,10,16,0,12,66,54,171,113,116,96,55,58
14000US17031030103,"Census Tract 301.03, Cook, IL",2459,329,2158,317,1233,247,515,133,10,21,299,127,0,12,0,12,101,70,0,12,101,70,301,136,111,59,7,16,5,10,0,12,0,12,78,61,100,101,100,101,0,12
14000US17031030104,"Census Tract 301.04, Cook, IL",3245,418,2800,424,1928,340,227,110,9,18,585,293,0,12,24,37,27,33,0,12,27,33,445,152,225,94,0,12,0,12,3,6,0,12,132,106,85,62,76,60,9,18
14000US17031030200,"Census Tract 302, Cook, IL",5995,1139,4561,460,3893,504,175,129,0,17,193,125,43,64,15,24,242,159,0,17,242,159,1434,1078,232,134,0,17,0,17,0,17,0,17,157,145,1045,1039,983,1033,62,93
14000US17031030300,"Census Tract 303, Cook, IL",3828,639,2744,474,1360,283,562,377,16,25,584,283,0,12,68,73,154,92,48,73,106,58,1084,489,518,355,0,12,13,18,10,16,0,12,289,166,254,344,231,343,23,41
14000US17031030400,"Census Tract 304, Cook, IL",2764,363,2126,298,1675,236,141,92,7,10,207,151,0,12,10,15,86,50,26,37,60,39,638,322,288,185,11,16,0,12,0,12,0,12,120,133,219,245,193,243,26,41
14000US17031030500,"Census Tract 305, Cook, IL",6703,713,5345,641,4159,603,381,229,0,17,180,98,12,20,0,17,613,229,0,17,613,229,1358,429,868,443,0,17,28,46,0,17,0,17,237,171,225,140,114,82,111,122
14000US17031030601,"Census Tract 306.01, Cook, IL",3789,901,3545,926,1600,313,971,879,0,12,821,303,0,12,0,12,153,136,0,12,153,136,244,168,155,150,0,12,0,12,0,12,0,12,18,29,71,63,51,55,20,31
14000US17031030603,"Census Tract 306.03, Cook, IL",2361,266,2018,306,1083,279,623,264,0,12,240,114,0,12,0,12,72,54,0,12,72,54,343,196,293,192,0,12,0,12,0,12,0,12,23,27,27,24,19,21,8,13
